Song_Name,Song_Artist,Song_Vocalist,Song_Plays(Mil)
Plaything,Mizu & Tsus,Miku,0.6
imaginary love story,Synthion,Miku,1.2
Vampire,DECO*27 & Rockwell,Miku,170
Tensai Rock,Karasuya Sabou,Miku,3.5
HERESY,daraku,Len,1.6
Childish War,Giga,Rin & Len,24.8
on the rocks,OSTER project,Kaito & Meiko,4
M@GICAL☆CURE! LOVE ♥ SHOT,SAWTOWNE,Miku,68.3
Gimme x Gimme,Giga & HachioujiP,Miku & Rin,72.5
Intergalactic Bound,CircusP & Yunosuke,Miku,8.6
New Human Race,kemu & JIN & bibi & marasy,Rin,11.5
Telecaster B-Boy,Surii,Len,91.1
Red Land Marker,Twinfield,Meiko,1.7
lost and found,ashcolor,Luka,0.2
